Cod;Tipo;UM;Grupo
H111151-0002;S;GLB;GASTOS GENERALES DE OBRA
H511111-0004;S;MS;SUBCONTRATOS
H511111-0006;E;MS;GASTOS GENERALES DE OBRA
H513111-0019;S;UN;SUBCONTRATOS
H513111-0027;S;UN;SUBCONTRATOS
H513111-0032;M;UN;EQUIPOS ESPECIALES
H513133-0004;E;MS;ALQUILER EQUIPO Y MAQUINARIA
H515161-0003;E;MS;ALQUILER EQUIPO Y MAQUINARIA
H515161-0006;E;MS;ALQUILER EQUIPO Y MAQUINARIA
L351500-0012;N;UN;NOMINA ADMINISTRACION DE OBRA
L351500-0016;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0018;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0021;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0027;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0028;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0030;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0031;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0035;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0036;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0038;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0044;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0045;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0046;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0047;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0051;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0052;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0053;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0056;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0061;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0062;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0063;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0064;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0065;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0073;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0075;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0077;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0080;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0100;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0107;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0110;N;MS;NOMINA ADMINISTRACION DE OBRA
L351500-0111;N;GLB;NOMINA ADMINISTRACION DE OBRA
L351500-0115;N;MS;NOMINA ADMINISTRACION DE OBRA
M301025-0001;M;M3;AGREGADOS Y PETREOS
M301025-0005;M;M3;AGREGADOS Y PETREOS
M301025-0031;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
M301025-0034;M;M3;AGREGADOS Y PETREOS
M301025-0036;M;M3;AGREGADOS Y PETREOS
M301025-0037;M;M3;AGREGADOS Y PETREOS
M301025-0038;M;M3;AGREGADOS Y PETREOS
M301025-0057;M;M3;AGREGADOS Y PETREOS
M303000-0046;M;UN;ENCHAPES - PISOS - ALFOMBRAS - PAPEL
M303000-0083;M;UN;ENCHAPES - PISOS - ALFOMBRAS - PAPEL
M303000-0093;M;UN;ENCHAPES - PISOS - ALFOMBRAS - PAPEL
P111511-0009;M;M2;URBANISMOS
P111513-0004;M;M2;IMPERMEABILIZANTES - ADITIVOS - QUIMICOS
P112911-0008;M;UN;URBANISMOS
P131311-0007;M;BT;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131311-0008;M;BT;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131313-0007;M;KG;URBANISMOS
P131511-0002;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131511-0008;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131511-0014;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131511-0030;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131511-0043;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131511-0054;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131511-0055;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131511-0122;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131511-0158;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131511-0183;M;M3;IMPERMEABILIZANTES - ADITIVOS - QUIMICOS
P131511-0216;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131511-0218;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131511-0309;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131511-0316;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131511-0345;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131513-0028;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131513-0029;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131513-0030;M;M3;CONCRETOS - CEMENTOS - MORTEROS SECOS
P131700-0007;M;UN;EQUIPOS DE COCINA
P131911-0001;S;ML;SUBCONTRATOS
P131911-0002;S;ML;SUBCONTRATOS
P131913-0007;S;UN;SUBCONTRATOS
P131915-0007;M;ML;TUBERIA SUBT - REJILLAS - SUMIDEROS
P131915-0030;M;UN;TUBERIA SUBT - REJILLAS - SUMIDEROS
P132111-0019;M;UN;URBANISMOS
P132119-0006;M;UN;BLOQUES Y LADRILLOS
P132119-0013;M;UN;URBANISMOS
P132119-0016;M;UN;BLOQUES Y LADRILLOS
P132119-0037;M;UN;BLOQUES Y LADRILLOS
P132119-0042;M;UN;BLOQUES Y LADRILLOS
P132119-0043;M;UN;BLOQUES Y LADRILLOS
P132119-0058;M;UN;BLOQUES Y LADRILLOS
P132119-0077;M;UN;BLOQUES Y LADRILLOS
P132119-0092;M;UN;BLOQUES Y LADRILLOS
P132311-0066;M;PQ;FERRETERIA Y HERRAMIENTAS
P132311-0069;M;PQ;FERRETERIA Y HERRAMIENTAS
P132319-0033;M;UN;ENCHAPES - PISOS - ALFOMBRAS - PAPEL
P132319-0086;M;KG;ENCHAPES - PISOS - ALFOMBRAS - PAPEL
P132319-0090;M;UN;IMPERMEABILIZANTES - ADITIVOS - QUIMICOS
P132319-0248;M;UN;IMPERMEABILIZANTES - ADITIVOS - QUIMICOS
P132319-0329;M;UN;ENCHAPES - PISOS - ALFOMBRAS - PAPEL
P132319-0370;M;KG;ENCHAPES - PISOS - ALFOMBRAS - PAPEL
P132517-0028;M;UN;IMPERMEABILIZANTES - ADITIVOS - QUIMICOS
P132517-0031;M;UN;IMPERMEABILIZANTES - ADITIVOS - QUIMICOS
P132517-0033;M;UN;IMPERMEABILIZANTES - ADITIVOS - QUIMICOS
P132715-0001;M;KG;AGREGADOS Y PETREOS
P132917-0003;M;M2;CONCRETOS - CEMENTOS - MORTEROS SECOS
P132917-0005;M;M2;CONCRETOS - CEMENTOS - MORTEROS SECOS
P133115-0003;M;UN;URBANISMOS
P133115-0044;M;UN;CONCRETOS - CEMENTOS - MORTEROS SECOS
P133115-0045;M;UN;CONCRETOS - CEMENTOS - MORTEROS SECOS
P133115-0059;M;UN;MOBILIARIO URBANO Y SEÑALIZACION
P133115-0070;M;UN;URBANISMOS
P133121-0002;M;KG;ACEROS - HIERROS - ALAMBRES - MALLAS - CERCHAS
P133121-0004;M;KG;ACEROS - HIERROS - ALAMBRES - MALLAS - CERCHAS
P133121-0010;M;KG;BLOQUES Y LADRILLOS
P133121-0027;M;KG;ACEROS - HIERROS - ALAMBRES - MALLAS - CERCHAS
P133121-0030;M;UN;ACEROS - HIERROS - ALAMBRES - MALLAS - CERCHAS
P133121-0037;M;KG;ACEROS - HIERROS - ALAMBRES - MALLAS - CERCHAS
P133121-0053;M;KG;ACEROS - HIERROS - ALAMBRES - MALLAS - CERCHAS
P133121-0060;M;KG;ACEROS - HIERROS - ALAMBRES - MALLAS - CERCHAS
P133900-0040;M;UN;IMPERMEABILIZANTES - ADITIVOS - QUIMICOS
P151713-0164;M;M2;ENCHAPES - PISOS - ALFOMBRAS - PAPEL
P151713-0198;M;M2;GASTOS GENERALES DE OBRA
P151713-0465;M;M2;ENCHAPES - PISOS - ALFOMBRAS - PAPEL
P151713-0504;M;UN;ENCHAPES - PISOS - ALFOMBRAS - PAPEL
P151713-0778;M;M2;ENCHAPES - PISOS - ALFOMBRAS - PAPEL
P151713-0793;M;M2;ENCHAPES - PISOS - ALFOMBRAS - PAPEL
P151713-0848;M;M2;ENCHAPES - PISOS - ALFOMBRAS - PAPEL
P151713-1400;M;M2;ENCHAPES - PISOS - ALFOMBRAS - PAPEL
P151717-0019;M;M2;URBANISMOS
P152111-0069;M;UN;GASTOS GENERALES DE OBRA
P171113-0012;M;UN;CARPINTERIA METALICA
P171113-0034;M;UN;VIDRIOS - ESPEJOS Y CERRADURAS
P171113-0040;M;UN;CARPINTERIA METALICA
P171115-0009;M;UN;CARPINTERIA MADERA
P171515-0017;M;UN;VIDRIOS - ESPEJOS Y CERRADURAS
P172511-0007;M;ML;CARPINTERIA METALICA
P191111-0056;S;UN;SUBCONTRATOS
P191111-0059;S;UN;SEÑALIZACION
P191111-0072;S;UN;SEÑALIZACION
P191311-0001;S;UN;CARPINTERIA MADERA
P211325-0620;M;UN;DOTACIONES ZONAS COMUNES
P212323-0025;M;UN;EQUIPOS DE COCINA
P212323-0154;M;UN;EQUIPOS DE COCINA
P212915-0013;S;UN;SUBCONTRATOS
P213713-0008;S;M2;VIDRIOS - ESPEJOS Y CERRADURAS
P231111-0007;E;UN;EQUIPOS ESPECIALES
P270000-0132;M;ML;SEGURIDAD INDUSTRIAL
P270000-0223;S;UN;SUBCONTRATOS
P270000-0351;M;ML;SEGURIDAD INDUSTRIAL
P293700-0054;N;UN;NOMINA ADMINISTRACION DE OBRA
P293700-0099;N;UN;NOMINA ADMINISTRACION DE OBRA
P293700-0391;N;PAR;NOMINA ADMINISTRACION DE OBRA
P293700-0431;N;UN;NOMINA ADMINISTRACION DE OBRA
P293700-0432;N;UN;NOMINA ADMINISTRACION DE OBRA
P293700-0434;N;UN;NOMINA ADMINISTRACION DE OBRA
P293700-0437;N;UN;NOMINA ADMINISTRACION DE OBRA
P293700-0550;M;UN;FERRETERIA Y HERRAMIENTAS
P293700-0576;N;UN;NOMINA ADMINISTRACION DE OBRA
P293700-0577;N;UN;NOMINA ADMINISTRACION DE OBRA
P293700-0579;N;UN;NOMINA ADMINISTRACION DE OBRA
P293700-0580;N;UN;NOMINA ADMINISTRACION DE OBRA
P293700-0581;N;UN;NOMINA ADMINISTRACION DE OBRA
P293700-0583;N;UN;NOMINA ADMINISTRACION DE OBRA
P293700-0585;N;UN;NOMINA ADMINISTRACION DE OBRA
P293700-0586;N;UN;NOMINA ADMINISTRACION DE OBRA
P293700-0587;N;UN;NOMINA ADMINISTRACION DE OBRA
P293700-0588;N;UN;NOMINA ADMINISTRACION DE OBRA
P293700-0589;N;UN;NOMINA ADMINISTRACION DE OBRA
P310000-0028;M;UN;GRIFERIAS - APARATOS SANITARIOS - ACCESORIOS
P311100-0033;M;UN;GRIFERIAS - APARATOS SANITARIOS - ACCESORIOS
P311100-0067;M;UN;GRIFERIAS - APARATOS SANITARIOS - ACCESORIOS
P311100-0199;M;UN;GRIFERIAS - APARATOS SANITARIOS - ACCESORIOS
P311100-0352;M;UN;GRIFERIAS - APARATOS SANITARIOS - ACCESORIOS
P311311-0077;M;UN;GRIFERIAS - APARATOS SANITARIOS - ACCESORIOS
P311311-0089;M;UN;EQUIPOS DE COCINA
P311311-0136;M;UN;EQUIPOS DE COCINA
P311317-0017;M;UN;GRIFERIAS - APARATOS SANITARIOS - ACCESORIOS
P311717-0001;S;UN;GRIFERIAS - APARATOS SANITARIOS - ACCESORIOS
P311900-0038;M;UN;GRIFERIAS - APARATOS SANITARIOS - ACCESORIOS
P312100-0004;S;UN;GRIFERIAS - APARATOS SANITARIOS - ACCESORIOS
P312500-0036;M;UN;GRIFERIAS - APARATOS SANITARIOS - ACCESORIOS
P312500-0071;S;UN;SUBCONTRATOS
P312500-0076;M;UN;GRIFERIAS - APARATOS SANITARIOS - ACCESORIOS
P312500-0077;S;UN;SUBCONTRATOS
P312500-0133;M;PQ;GRIFERIAS - APARATOS SANITARIOS - ACCESORIOS
P312519-0004;M;UN;GRIFERIAS - APARATOS SANITARIOS - ACCESORIOS
P312519-0006;M;UN;GRIFERIAS - APARATOS SANITARIOS - ACCESORIOS
P312529-0021;M;UN;GRIFERIAS - APARATOS SANITARIOS - ACCESORIOS
P312700-0022;M;UN;TUBERIA SUBT - REJILLAS - SUMIDEROS
P312700-0028;M;UN;TUBERIA SUBT - REJILLAS - SUMIDEROS
P312700-0036;M;UN;TUBERIA SUBT - REJILLAS - SUMIDEROS
P313311-0002;M;UN;EQUIPOS DE COCINA
P351100-0020;S;UN;SUBCONTRATOS
P354700-0126;M;UN;URBANISMOS
P354700-0728;M;UN;INST. ELECTRICAS
P354700-1011;M;UN;URBANISMOS
P354700-1012;M;UN;URBANISMOS
S017300-0010;O;M2;MANO DE OBRA
S017300-0011;O;ML;MANO DE OBRA
S017300-0025;O;UN;MANO DE OBRA
S017300-0026;O;UN;MANO DE OBRA
S017300-0033;O;M2;MANO DE OBRA
S017300-0041;O;UN;MANO DE OBRA
S017300-0044;O;M2;MANO DE OBRA
S017300-0048;O;ML;MANO DE OBRA
